fecha_insercion,Piezas Sobrantes,Lote,NÂº Piezas,Operario,Referencia,Set,parte
08/09/2022 0:00,-4,76417,496,3,IN01023-103,14,redonda 
08/09/2022 0:00,-4,76417,496,3,IN01023-103,13,redonda 
08/09/2022 0:00,-81,76417,419,3,IN01023-103,24,redonda 
08/09/2022 0:00,-79,76417,421,3,IN01023-103,23,redonda 
09/09/2022 0:00,-4,76417,496,3,IN01023-103,15,redonda 
09/09/2022 0:00,-77,76417,423,3,IN01023-103,22,redonda 
09/09/2022 0:00,1,76417,501,3,IN01023-103,4,redonda 
09/09/2022 0:00,-78,76417,422,3,IN01023-103,2,redonda 
09/09/2022 0:00,-4,76417,496,3,IN01023-103,1,redonda 
09/09/2022 0:00,-76,76417,424,3,IN01023-103,26,redonda 
09/09/2022 0:00,-2,76417,498,3,IN01023-103,20,redonda 
09/09/2022 0:00,-4,76417,496,3,IN01023-103,6,redonda 
09/09/2022 0:00,-73,76417,427,3,IN01023-103,21,redonda 
15/09/2022 0:00,-79,76417,421,4,IN01023-103,27,redonda 
15/09/2022 0:00,-75,76417,425,4,IN01023-103,19,redonda 
15/09/2022 0:00,-2,76417,498,4,IN01023-103,28,redonda 
15/09/2022 0:00,3,76417,503,4,IN01023-103,5,redonda 
16/09/2022 0:00,-1,76417,499,4,IN01023-103,29,redonda 
16/09/2022 0:00,1,76417,501,4,IN01023-103,16,redonda 
16/09/2022 0:00,0,76417,500,4,IN01023-103,9,redonda 
16/09/2022 0:00,-2,76417,498,4,IN01023-103,30,redonda 
16/09/2022 0:00,-77,76417,423,4,IN01023-103,18,redonda 
19/09/2022 0:00,4,76417,504,4,IN01023-103,7,redonda 
19/09/2022 0:00,-3,76417,497,4,IN01023-103,31,redonda 
19/09/2022 0:00,-82,76417,418,4,IN01023-103,35,redonda 
19/09/2022 0:00,10,76417,510,4,IN01023-103,34,redonda 
19/09/2022 0:00,5,76417,505,4,IN01023-103,12,redonda 
20/09/2022 0:00,14,76417,514,4,IN01023-103,36,redonda 
20/09/2022 0:00,13,76417,513,4,IN01023-103,33,redonda 
20/09/2022 0:00,-77,76417,423,4,IN01023-103,17,redonda 
21/09/2022 0:00,11,76417,511,4,IN01023-103,37,redonda 
21/09/2022 0:00,14,76417,514,4,IN01023-103,59,redonda 
21/09/2022 0:00,4,76417,504,4,IN01023-103,8,redonda 
21/09/2022 0:00,2,76417,502,4,IN01023-103,11,redonda 
21/09/2022 0:00,4,76417,504,4,IN01023-103,10,redonda 
21/09/2022 0:00,5,76417,505,4,IN01023-103,65,redonda 
22/09/2022 0:00,3,76417,503,4,IN01023-103,64,redonda 
22/09/2022 0:00,1,76417,501,4,IN01023-103,63,redonda 
22/09/2022 0:00,0,76417,500,4,IN01023-103,62,redonda 
22/09/2022 0:00,2,76417,502,4,IN01023-103,66,redonda 
22/09/2022 0:00,-88,76417,412,4,IN01023-103,67,redonda 
22/09/2022 0:00,3,76417,503,4,IN01023-103,68,redonda 
22/09/2022 0:00,1,76417,501,4,IN01023-103,70,redonda 
22/09/2022 0:00,1,76417,501,4,IN01023-103,71,redonda 
23/09/2022 0:00,1,76417,501,4,IN01023-103,69,redonda 
23/09/2022 0:00,9,76417,509,4,IN01023-103,72,redonda 
23/09/2022 0:00,48,76417,548,4,IN01023-103,73,redonda 
23/09/2022 0:00,2,76417,502,4,IN01023-103,50,redonda 
23/09/2022 0:00,11,76417,511,4,IN01023-103,51,redonda 
23/09/2022 0:00,5,76417,505,4,IN01023-103,54,redonda 
23/09/2022 0:00,1,76417,501,4,IN01023-103,53,redonda 
23/09/2022 0:00,-1,76417,499,4,IN01023-103,58,redonda 
26/09/2022 0:00,1,76417,501,4,IN01023-103,57,redonda 
26/09/2022 0:00,4,76417,504,4,IN01023-103,52,redonda 
26/09/2022 0:00,4,76417,504,4,IN01023-103,55,redonda 
26/09/2022 0:00,2,76417,502,4,IN01023-103,56,redonda 
26/09/2022 0:00,4,76417,504,4,IN01023-103,61,redonda 
26/09/2022 0:00,0,76417,500,4,IN01023-103,60,redonda 
26/09/2022 0:00,5,76417,505,4,IN01023-103,59,redonda 
27/09/2022 0:00,-3,76417,497,4,IN01023-103,38,redonda 
27/09/2022 0:00,-2,76417,498,4,IN01023-103,39,redonda 
27/09/2022 0:00,0,76417,500,4,IN01023-103,41,redonda 
27/09/2022 0:00,-1,76417,499,4,IN01023-103,42,redonda 
27/09/2022 0:00,0,76417,500,4,IN01023-103,40,redonda 
27/09/2022 0:00,-1,76417,499,4,IN01023-103,43,redonda 
27/09/2022 0:00,6,76417,506,4,IN01023-103,44,redonda 
28/09/2022 0:00,3,76417,503,4,IN01023-103,45,redonda 
28/09/2022 0:00,4,76417,504,4,IN01023-103,47,redonda 
28/09/2022 0:00,5,76417,505,4,IN01023-103,46,redonda 
28/09/2022 0:00,2,76417,502,4,IN01023-103,48,redonda 
28/09/2022 0:00,2,76417,502,4,IN01023-103,49,redonda 
28/09/2022 0:00,-77,76417,423,4,IN01023-103,3,redonda 
29/09/2022 0:00,12,76394,512,4,IN01022-103,43,Ovalada 
29/09/2022 0:00,14,76394,514,4,IN01022-103,52,Ovalada 
29/09/2022 0:00,13,76394,513,4,IN01022-103,44,Ovalada 
29/09/2022 0:00,16,76394,516,4,IN01022-103,45,Ovalada 
29/09/2022 0:00,15,76394,515,4,IN01022-103,54,Ovalada 
30/09/2022 0:00,14,76394,514,4,IN01022-103,53,Ovalada 
30/09/2022 0:00,17,76394,517,4,IN01022-103,66,Ovalada 
30/09/2022 0:00,13,76394,513,4,IN01022-103,61,Ovalada 
30/09/2022 0:00,12,76394,512,4,IN01022-103,69,Ovalada 
30/09/2022 0:00,18,76394,518,4,IN01022-103,62,Ovalada 
30/09/2022 0:00,14,76394,514,4,IN01022-103,42,Ovalada 
03/10/2022 0:00,15,76394,515,4,IN01022-103,40,Ovalada 
03/10/2022 0:00,20,76394,520,4,IN01022-103,39,Ovalada 
03/10/2022 0:00,12,76394,512,4,IN01022-103,49,Ovalada 
03/10/2022 0:00,19,76394,519,4,IN01022-103,63,Ovalada 
03/10/2022 0:00,13,76394,513,4,IN01022-103,50,Ovalada 
03/10/2022 0:00,12,76394,512,4,IN01022-103,58,Ovalada 
03/10/2022 0:00,14,76394,514,4,IN01022-103,51,Ovalada 
03/10/2022 0:00,16,76394,516,4,IN01022-103,60,Ovalada 
04/10/2022 0:00,16,76394,516,4,IN01022-103,59,Ovalada 
04/10/2022 0:00,16,76394,516,4,IN01022-103,52,Ovalada 
04/10/2022 0:00,15,76394,515,4,IN01022-103,38,Ovalada 
04/10/2022 0:00,15,76394,515,4,IN01022-103,46,Ovalada 
04/10/2022 0:00,19,76394,519,4,IN01022-103,47,Ovalada 
04/10/2022 0:00,12,76394,512,4,IN01022-103,55,Ovalada 
04/10/2022 0:00,209,76394,709,4,IN01022-103,72,Ovalada 
05/10/2022 0:00,16,76394,516,4,IN01022-103,71,Ovalada 
05/10/2022 0:00,14,76394,514,4,IN01022-103,67,Ovalada 
05/10/2022 0:00,19,76394,519,4,IN01022-103,64,Ovalada 
05/10/2022 0:00,12,76394,512,4,IN01022-103,56,Ovalada 
05/10/2022 0:00,18,76394,518,4,IN01022-103,65,Ovalada 
05/10/2022 0:00,12,76394,512,4,IN01022-103,68,Ovalada 
05/10/2022 0:00,19,76394,519,4,IN01022-103,37,Ovalada 
05/10/2022 0:00,12,76394,512,4,IN01022-103,70,Ovalada 
06/10/2022 0:00,17,76394,517,4,IN01022-103,48,Ovalada 
06/10/2022 0:00,13,76394,513,6,IN01022-103,5,Ovalada 
06/10/2022 0:00,13,76394,513,4,IN01022-103,31,Ovalada 
06/10/2022 0:00,14,76394,514,4,IN01022-103,25,Ovalada 
06/10/2022 0:00,17,76394,517,4,IN01022-103,17,Ovalada 
06/10/2022 0:00,14,76394,514,4,IN01022-103,30,Ovalada 
06/10/2022 0:00,13,76394,513,6,IN01022-103,21,Ovalada 
06/10/2022 0:00,15,76394,515,4,IN01022-103,34,Ovalada 
06/10/2022 0:00,14,76394,514,4,IN01022-103,8,Ovalada 
06/10/2022 0:00,14,76394,514,6,IN01022-103,13,Ovalada 
06/10/2022 0:00,17,76394,517,4,IN01022-103,7,Ovalada 
06/10/2022 0:00,12,76394,512,4,IN01022-103,5,Ovalada 
07/10/2022 0:00,14,76394,514,4,IN01022-103,22,Ovalada 
07/10/2022 0:00,17,76394,517,6,IN01022-103,10,Ovalada 
07/10/2022 0:00,14,76394,514,4,IN01022-103,32,Ovalada 
07/10/2022 0:00,14,76394,514,4,IN01022-103,26,Ovalada 
07/10/2022 0:00,14,76394,514,4,IN01022-103,18,Ovalada 
07/10/2022 0:00,15,76394,515,6,IN01022-103,1,Ovalada 
07/10/2022 0:00,15,76394,515,4,IN01022-103,28,Ovalada 
07/10/2022 0:00,16,76394,516,4,IN01022-103,15,Ovalada 
07/10/2022 0:00,12,76394,512,4,IN01022-103,20,Ovalada 
07/10/2022 0:00,16,76394,516,6,IN01022-103,35,Ovalada 
07/10/2022 0:00,14,76394,514,4,IN01022-103,23,Ovalada 
07/10/2022 0:00,15,76394,515,4,IN01022-103,6,Ovalada 
07/10/2022 0:00,16,76394,516,6,IN01022-103,11,Ovalada 
10/10/2022 0:00,16,76394,516,4,IN01022-103,4,Ovalada 
10/10/2022 0:00,19,76394,519,6,IN01022-103,33,Ovalada 
10/10/2022 0:00,16,76394,516,6,IN01022-103,27,Ovalada 
10/10/2022 0:00,14,76394,514,4,IN01022-103,14,Ovalada 
10/10/2022 0:00,15,76394,515,4,IN01022-103,29,Ovalada 
10/10/2022 0:00,16,76394,516,6,IN01022-103,19,Ovalada 
10/10/2022 0:00,14,76394,514,4,IN01022-103,16,Ovalada 
10/10/2022 0:00,15,76394,515,6,IN01022-103,36,Ovalada 
10/10/2022 0:00,14,76394,514,6,IN01022-103,9,Ovalada 
10/10/2022 0:00,14,76394,514,4,IN01022-103,2,Ovalada 
10/10/2022 0:00,15,76394,515,6,IN01022-103,12,Ovalada 
11/10/2022 0:00,27,76394,527,4,IN01022-103,na,Ovalada 
11/10/2022 0:00,15,76394,515,6,IN01022-103,3,Ovalada 